book,context,block_type,classification_confidence
hotdq,data/0/name,HEADING_LABEL,1.0
hotdq,data/0/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/2/entries/0/entries/0/name,HEADING_LABEL,1.0
hotdq,data/0/entries/2/entries/0/entries/0/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/3/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/3/entries/1/entries/0/entries/0/name,HEADING_LABEL,1.0
hotdq,data/0/entries/3/entries/1/entries/0/entries/0/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/3/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/3/entries/2/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/3/entries/2/entries/1/name,HEADING_LABEL,1.0
hotdq,data/0/entries/3/entries/2/entries/1/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/3/entries/2/entries/1/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/3/entries/2/entries/1/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/3/entries/2/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/3/entries/2/entries/2/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/3/entries/2/entries/2/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/3/entries/2/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/3/entries/2/entries/3/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/3/entries/2/entries/3/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/3/entries/2/entries/3/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/3/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/3/entries/3/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/3/entries/3/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/3/entries/3/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/3/entries/3/entries/3,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/1/entries/0/entries/0/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/1/entries/0/entries/0/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/2/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/2/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/2/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/2/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/2/entries/3/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/2/entries/3/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/2/entries/4/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/2/entries/4/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/3/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/3/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/3/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/3/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/4/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/4/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/5/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/5/entries/0/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/5/entries/0/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/5/entries/1/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/5/entries/1/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/5/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/5/entries/2/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/5/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/5/entries/3/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/6/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/6/entries/0/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/6/entries/0/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/6/entries/1/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/6/entries/1/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/6/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/6/entries/2/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/6/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/6/entries/3/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/7/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/7/entries/0/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/7/entries/0/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/7/entries/1/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/7/entries/1/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/7/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/7/entries/2/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/7/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/7/entries/3/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/8/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/8/entries/0/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/8/entries/0/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/8/entries/1/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/8/entries/1/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/9/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/9/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/9/entries/1/items/0,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/9/entries/1/items/1,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/9/entries/1/items/2,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/9/entries/1/items/3,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/9/entries/1/items/4,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/9/entries/1/items/5,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/9/entries/1/items/6,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/9/entries/1/items/7,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/9/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/10/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/10/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/10/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/10/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/10/entries/2/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/10/entries/2/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/11/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/11/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/11/entries/1/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/11/entries/1/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/11/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/11/entries/2/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/11/entries/2/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/11/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/11/entries/3/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/11/entries/3/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/11/entries/3/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/11/entries/3/entries/3,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/11/entries/4/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/11/entries/4/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/11/entries/4/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/11/entries/5/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/11/entries/5/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/11/entries/5/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/4/entries/11/entries/6/name,HEADING_LABEL,1.0
hotdq,data/0/entries/4/entries/11/entries/6/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/4/entries/11/entries/6/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/5/name,HEADING_LABEL,1.0
hotdq,data/0/entries/5/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/5/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/6/title,HEADING_LABEL,1.0
hotdq,data/0/entries/7/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/1/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/1/entries/3/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/3/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/3/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/7/entries/1/entries/3/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/4/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/1/entries/4/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/4/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/4/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/5/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/1/entries/5/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/5/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/7/entries/1/entries/6/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/1/entries/6/entries/0/title,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/1/entries/6/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/6/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/6/entries/3,DM_INSTRUCTION,0.85
hotdq,data/0/entries/7/entries/1/entries/7/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/1/entries/7/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/1/entries/8/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/1/entries/8/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/7/entries/1/entries/8/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/2/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/2/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/2/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/2/entries/2/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/2/entries/2/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/2/entries/2/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/2/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/2/entries/3/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/2/entries/3/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/2/entries/3/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/7/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/3/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/3/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/3/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/3/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/3/entries/4,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/3/entries/5/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/3/entries/5/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/7/entries/3/entries/5/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/7/entries/4/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/4/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/4/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/4/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/4/entries/2/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/4/entries/2/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/7/entries/4/entries/2/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/4/entries/2/entries/3,DM_INSTRUCTION,0.85
hotdq,data/0/entries/7/entries/4/entries/2/entries/4,NARRATIVE,0.8
hotdq,data/0/entries/7/entries/5/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/5/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/7/entries/5/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/7/entries/5/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/7/entries/5/entries/2/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/2/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/2/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/2/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/2/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/2/entries/3/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/2/entries/3/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/2/entries/4/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/2/entries/4/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/2/entries/4/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/2/entries/4/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/2/entries/4/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/2/entries/4/entries/4,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/2/entries/4/entries/5,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/2/entries/4/entries/6,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/2/entries/4/entries/7,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/3/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/3/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/3/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/3/entries/4/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/3/entries/4/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/3/entries/4/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/3/entries/4/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/3/entries/5/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/3/entries/5/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/3/entries/5/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/3/entries/5/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/3/entries/5/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/3/entries/5/entries/4,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/3/entries/5/entries/5,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/3/entries/5/entries/6,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/4/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/4/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/4/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/4/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/4/entries/3/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/4/entries/3/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/4/entries/3/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/4/entries/4/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/4/entries/4/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/4/entries/4/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/4/entries/4/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/4/entries/4/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/4/entries/4/entries/4,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/4/entries/4/entries/5,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/4/entries/4/entries/6,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/4/entries/4/entries/7,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/5/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/3/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/5/entries/3/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/3/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/3/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/4/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/5/entries/4/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/4/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/5/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/5/entries/5/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/5/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/5/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/5/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/5/entries/4,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/5/entries/5,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/5/entries/6,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/5/entries/7,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/6/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/5/entries/6/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/6/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/6/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/6/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/6/entries/4,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/6/entries/5,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/6/entries/6,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/6/entries/7,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/7/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/5/entries/7/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/7/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/7/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/7/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/7/entries/4,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/7/entries/5,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/8/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/5/entries/8/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/8/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/8/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/8/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/8/entries/4,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/8/entries/5,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/8/entries/6,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/9/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/5/entries/9/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/9/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/9/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/9/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/9/entries/4,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/9/entries/5,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/10/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/5/entries/10/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/10/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/10/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/10/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/10/entries/4,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/10/entries/5,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/11/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/5/entries/11/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/11/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/11/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/11/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/11/entries/4,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/11/entries/5,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/11/entries/6,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/5/entries/11/entries/7,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/5/entries/11/entries/8,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/6/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/6/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/6/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/6/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/6/entries/4,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/6/entries/5,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/6/entries/6,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/6/entries/7,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/6/entries/8,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/6/entries/9/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/6/entries/9/entries/0,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/6/entries/9/entries/1,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/6/entries/9/entries/2,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/6/entries/10/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/6/entries/10/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/6/entries/10/entries/1,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/6/entries/10/entries/2,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/6/entries/10/entries/3,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/6/entries/10/entries/4,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/6/entries/10/entries/5,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/6/entries/10/entries/6,DM_INSTRUCTION,0.85
hotdq,data/0/entries/8/entries/7/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/7/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/7/entries/1/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/7/entries/1/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/8/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/8/entries/0,NARRATIVE,0.8
hotdq,data/0/entries/8/entries/8/entries/1/name,HEADING_LABEL,1.0
hotdq,data/0/entries/8/entries/8/entries/1/entries/0,DM_INSTRUCTION,0.85
hotdq,data/1/name,HEADING_LABEL,1.0
hotdq,data/1/entries/1,NARRATIVE,0.8
hotdq,data/1/entries/2,DM_INSTRUCTION,0.85
hotdq,data/1/entries/3,NARRATIVE,0.8
hotdq,data/1/entries/4/name,HEADING_LABEL,1.0
hotdq,data/1/entries/4/entries/0,DM_INSTRUCTION,0.85
hotdq,data/1/entries/5/name,HEADING_LABEL,1.0
hotdq,data/1/entries/5/entries/0,DM_INSTRUCTION,0.85
hotdq,data/1/entries/5/entries/1,NARRATIVE,0.8
hotdq,data/1/entries/5/entries/2/entries/0,READ_ALOUD,1.0
hotdq,data/1/entries/5/entries/3,DM_INSTRUCTION,0.85
hotdq,data/1/entries/6/name,HEADING_LABEL,1.0
hotdq,data/1/entries/6/entries/0,DM_INSTRUCTION,0.85
hotdq,data/1/entries/6/entries/1/entries/0/entries/0/name,HEADING_LABEL,1.0
hotdq,data/1/entries/6/entries/1/entries/0/entries/0/entries/0,NARRATIVE,0.8
hotdq,data/1/entries/6/entries/1/entries/0/entries/1/name,HEADING_LABEL,1.0
hotdq,data/1/entries/6/entries/1/entries/0/entries/1/entries/0,DM_INSTRUCTION,0.85
hotdq,data/1/entries/6/entries/1/entries/0/entries/2/name,HEADING_LABEL,1.0
hotdq,data/1/entries/6/entries/1/entries/0/entries/2/entries/0,DM_INSTRUCTION,0.85
hotdq,data/1/entries/6/entries/1/entries/0/entries/2/entries/1/images/0/title,HEADING_LABEL,1.0
